iter	Logloss
364	0.1003548835
365	0.100220055
366	0.1001556682
367	0.1001088785
368	0.09996626004
369	0.09965532033
370	0.09957903812
371	0.09927792946
372	0.09923277632
373	0.0990658922
374	0.09893967034
375	0.0988169845
376	0.0985772397
377	0.09829007159
378	0.09807275347
379	0.09732245095
380	0.09718870191
381	0.09694964946
382	0.09667909554
383	0.09659598653
384	0.09649867126
385	0.09604654419
386	0.09597246497
387	0.09582385378
388	0.09573681585
389	0.09554144491
390	0.09550056366
391	0.09489168272
392	0.09468585707
393	0.09460136918
394	0.09435711914
395	0.09417788311
396	0.09379253237
397	0.0936644032
398	0.09355195743
399	0.09347862535
400	0.09324910228
401	0.09314626209
402	0.0931051453
403	0.09297998493
404	0.09290637059
405	0.0928565833
406	0.09260270747
407	0.0924045508
408	0.09227713081
409	0.0919936029
410	0.09188881289
411	0.09182086362
412	0.09172477233
413	0.09164692008
414	0.09152877528
415	0.09140360475
416	0.09107523533
417	0.09071856039
418	0.09029933344
419	0.09016259338
420	0.09010259744
421	0.09003685983
422	0.08995681126
423	0.08975445791
424	0.08951444138
425	0.08926823972
426	0.08895594286
427	0.0888751429
428	0.08877300372
429	0.08873134961
430	0.08862374912
431	0.08841925845
432	0.08831492214
433	0.08819189952
434	0.08810843411
435	0.08785768362
436	0.08772568418
437	0.08755356543
438	0.08745197412
439	0.087345374
440	0.08732053516
441	0.08702608545
442	0.0868623995
443	0.08675098273
444	0.08668467744
445	0.0864405587
446	0.08632268259
447	0.08622131476
448	0.08584727678
449	0.08576116228
450	0.08545679521
451	0.08539276822
452	0.08529887899
453	0.08507294279
454	0.08501612207
455	0.08488337086
456	0.08458698083
457	0.08427921529
458	0.0839101515
459	0.08384697461
460	0.08374434599
461	0.08364680537
462	0.08362954472
463	0.08355401251
464	0.08346856486
465	0.08318964872
466	0.08294709081
467	0.08286119569
468	0.08277633405
469	0.08265531769
470	0.08255310738
471	0.08244331052
472	0.08233423717
473	0.08226132539
474	0.08187629618
475	0.08159207751
476	0.08151063644
477	0.08138716437
478	0.08104248214
479	0.08091428948
480	0.08087342713
481	0.08056725507
482	0.08042653123
483	0.08031602737
484	0.08017832914
485	0.08001449782
486	0.07992199154
487	0.07987511268
488	0.07954524047
489	0.07943901716
490	0.0791954182
491	0.07909927872
492	0.07888822795
493	0.07887140844
494	0.07853872715
495	0.07848479133
496	0.07838672355
497	0.07832376621
498	0.07822476332
499	0.0781932165
50905
495	0.05856833209
496	0.05847660692
497	0.05830881682
498	0.05825255218
499	0.05803360145
